Emerging market by exchanges,,
,,
,,Domicile
632606,Tata Teleservices (Maharashtra) Limited,INDIA
B04F96,Tatia Global Venture Ltd.,INDIA
B3Y3BC,Tatt Giap Group Bhd.,MALAYSIA
B58H4K,TATTELECOM OJSC,RUSSIA
687567,Tatung Co.,TAIWAN
B40GFY,"Tatung Fine Chemicals Co., Ltd.",TAIWAN
674430,Tatung System Technologies Inc.,TAIWAN
614752,Taufin Hldgs Zar0.001,SOUTH AFRICA
B5P7L4,TAURON Polska Energia S.A.,POLAND
B1RMFT,TAV Havalimanlari Holding A.S.,TURKEY
B2QN4R,Tavernier Resources Limited,INDIA
B59V9Z,Tax-Net SA,POLAND
B5ZP4Z,Taxus Fund S.A.,POLAND
687609,Tayo Rolls Limited,INDIA
B8FDNB,Taze Kuru Gida Sanayi ve Ticaret AS,TURKEY
600397,"TBEA Co., Ltd. Class A",CHINA
616806,Tbroad DobongGangbuk Broadcasting Co Ltd,SOUTH KOREA
629512,TBROAD HANVIT BROADCASTING CO LTD.,SOUTH KOREA
B2QP3J,TC Befektetesi Nyrt,HUNGARY
627637,TCC Steel Corp.,SOUTH KOREA
641021,TCFC Finance Limited,INDIA
B6X51B,"TCI Co., Ltd.",TAIWAN
B4QQLN,TCI Developers Limited,INDIA
B03J6T,TCI Finance Limited,INDIA
B03J6V,TCI Industries Limited,INDIA
B89JD8,TCM Biotech International Corp.,TAIWAN
604329,TCM Limited,INDIA
B03KFG,TCPL Packaging Limited,INDIA
B3CX5B,"TCST Tech Co., Ltd.",TAIWAN
B3VJKW,TD Power Systems Limited,INDIA
631643,TDG Holding Co. Ltd. Class A,CHINA
690402,TDM Bhd.,MALAYSIA
613767,"Te Chang Construction Co., Ltd.",TAIWAN
B4MJ98,Team Group Inc.,TAIWAN
642079,Team Precision Public Co. Ltd.,THAILAND
610924,"Team Young Advanced Ceramics Co., Ltd.",TAIWAN
612783,Teapo Electronic Corporation,TAIWAN
638135,Tebrau Teguh Bhd.,MALAYSIA
683721,"TEC & CO Co., Ltd.",SOUTH KOREA
672976,Tec Co Ltd Krw500,SOUTH KOREA
B00J17,Tec Toy SA Pfd,BRAZIL
288002,Tecblu Tecelagem Blumenau SA Pfd  A,BRAZIL
687896,Tech Applications Thb10,THAILAND
B1C4TB,Tech Mahindra Limited,INDIA
B09XV1,Techfast Holdings Bhd.,MALAYSIA
B8KY94,Techmadex SA,POLAND
B0144P,Techmex SA,POLAND
B2497R,Techmosa International Inc.,TAIWAN
687875,Technical & Indust Zar0.01,SOUTH AFRICA
B5TPFV,Techno Electric & Engineering Co. Ltd.,INDIA
B04J0W,Techno Forge Limited,INDIA
B1RDDD,Technocraft Industries (India) Limited,INDIA
B19VV6,Technodex Bhd.,MALAYSIA
B3WFZT,Technofab Engineering Limited,INDIA
288007,Technos Relogios Com Brl0.27,BRAZIL
B3ZQXN,Technos S.A.,BRAZIL
B05B7N,TechNVision Ventures Ltd.,INDIA
630289,Techtran Polylenses Ltd,INDIA
B907PM,TechTrek India Limited,INDIA
605363,Techventure Myr1,MALAYSIA
B6R124,"Techwing, Inc.",SOUTH KOREA
690909,Teck Guan Perdana Bhd.,MALAYSIA
613698,Tecnew Electronic Twd10,TAIWAN
678881,Tecnic Group Bhd.,MALAYSIA
B1N9YM,Tecnisa S.A.,BRAZIL
287992,Tecnosolo Engenharia SA Pfd,BRAZIL
687985,"Teco Electric & Machinery Co., Ltd.",TAIWAN
B1LJ4X,"Teco Electro Devices Co., Ltd.",TAIWAN
627553,"Teco Image Systems Co., Ltd.",TAIWAN
687987,"Tecom Co., Ltd.",TAIWAN
B4K005,Tecpro Systems Limited,INDIA
663018,"Tecstar Technology Co., Ltd.",TAIWAN
249287,Tecsur Sa Pen0.54,PERU
B02QXS,Tee Hwa Technology Twd10,TAIWAN
B55B1Z,Teems Inc.,SOUTH KOREA
B3RCQJ,Teera-Mongkol Industry Public Co. Ltd.,THAILAND
B2QVJ7,Teesta Agro Industries Ltd,INDIA
276125,Tef Data Bra Pn,BRAZIL
251470,Tegener Participac Com Npv,BRAZIL
B1ZBDK,Tegma Gestao Logistica S.A.,BRAZIL
688025,Tegniese Bel Korp Zar0.01,SOUTH AFRICA
288255,Tejicondor Ord,COLOMBIA
B03NG5,Tek Seng Holdings Bhd.,MALAYSIA
B03MXZ,Tek-Art Insaat Ticaret Turizm Sanayi ve Yatirimlar Anonim Sirketi,TURKEY
290447,Teka Tecelagem Kuehnrich Pfd,BRAZIL
690201,Tekala Corp. Bhd.,MALAYSIA
B011VP,Tekchem S.A.B. de C.V.,MEXICO
B01HTZ,"Tekcore Co., Ltd",TAIWAN
B29D24,Tekfen Holding Anonim Sirketi,TURKEY
B1YH12,Tekno SA Industria e Comercio Pfd,BRAZIL
B7TJR6,Teknosa Ic ve Dis Ticaret AS,TURKEY
672542,"Tekom Technologies, Inc.",TAIWAN
B03MY0,Tekstil Bankasi Anonim Sirketi,TURKEY
B03MY1,Tekstil Finansal Kiralama Anonim Sirketi,TURKEY
216091,Tel Borda Do Campo Com Npv,BRAZIL
B01R5G,"Telcoware Co., Ltd",SOUTH KOREA
B0774T,Tele Centro Oeste Celular Participacoes SA Prf,BRAZIL
B07747,Tele Leste Celular Prf Npv,BRAZIL
229279,Tele Nordeste Celular Participacoes SA,BRAZIL
229261,Tele Norte Celular Participacoes S.A. Pref Shs,BRAZIL
B02PDW,Tele Norte Leste Participacoes SA Pref,BRAZIL
B0765W,Tele Sudeste Celular Participacoes SA,BRAZIL
560673,Tele-Fonika Kable SA,POLAND
B4VGZ1,Tele-Polska Holding S.A.,POLAND
288013,Telebahia-Tel Bahi Com Npv,BRAZIL
288012,Telebahia-Tel Bahi Prf'A'Npv,BRAZIL
289932,Telebahia-Tel Bahi Prf'B'Npv,BRAZIL
241165,Telebras Telec Bra Holders Rep Prf Shs,BRAZIL
288019,Telebrasilia Sa Prf Npv,BRAZIL
692901,TeleCanor Global Limited,INDIA
B04H0L,Telechips Inc.,SOUTH KOREA
B0S600,Telecom Egypt,EGYPT
287988,Telecomunicacoes Brasileiras SA - TELEBRAS Pref.,BRAZIL
288254,Telecomunicacoes de Sao Paulo SA,BRAZIL
B3MMQT,Teledata Technology Solutions Limited,INDIA
B2PDCQ,"Telefield, Inc.",SOUTH KOREA
B3ZCNF,Telefonica Brasil SA Pfd,BRAZIL
216219,Telefonica Chile S.A. Class A,CHILE
527256,Telefonica Czech Republic as,CZECH REPUBLIC
218698,Telefonica del Peru SA Class B,PERU
219083,Telefonica Larga Distancia SA,CHILE
288268,Telefonica Moviles Peru SA,PERU
288168,Telefonos de Mexico SAB de C.V. Class L,MEXICO
686839,Telekom Malaysia Bhd.,MALAYSIA
555255,Telekomunikacji Polskiej S.A.,POLAND
B02PFC,Telemar Norte Leste SA,BRAZIL
B1V419,TeleMasters Holdings Ltd.,SOUTH AFRICA
B51W9T,Telemedycyna Polska S.A.,POLAND
229277,Telemig Celular Participacoes SA,BRAZIL
B010V8,Telemig Celular Sa Prf Shs Class 'C' N,BRAZIL
288034,Telemig Pnb,BRAZIL
288298,Telemig Tele Minas Prf'A'Npv,BRAZIL
288299,Telemig Tele Minas Prf'C'Npv,BRAZIL
288297,Telemig Tele Minas Prf'D'Npv,BRAZIL
288126,Telemig Tele Minas Prf'E'Npv,BRAZIL
224663,Telepar Celular Pnb,BRAZIL
632753,Telephone Cables Ltd.,INDONESIA
224692,Telerj Celular Pnb,BRAZIL
224668,Telerj Celular Sa Com Npv,BRAZIL
224693,Telesp Celular Sa Com Npv,BRAZIL
B5N255,Telesto SA,POLAND
B298VM,Telestrada S.A.,POLAND
287291,Telet Sa Com Npv,BRAZIL
B1L5S5,Television Eighteen,INDIA
224290,Telex Chile Sa,CHILE
B1VNC4,TelForceOne S.A.,POLAND
B4TKJB,TELIANI VALLEY POLSKA SA,POLAND
688245,Teljoy Hldgs Zar0.10,SOUTH AFRICA
658857,Telkom SA SOC Ltd.,SOUTH AFRICA
B0PVJ2,Tell S.A.,POLAND
661316,"Tellhow Sci-Tech Co., Ltd. Class A",CHINA
B39SR2,Telmex Internacional SAB de CV Class L,MEXICO
B1FLYW,Tempo Participacoes S.A.,BRAZIL
688411,Tempora Investment Zar0.01,SOUTH AFRICA
688386,Temptation Foods Limited,INDIA
687916,"Ten Ren Tea Co., Ltd.",TAIWAN
690461,Tenaga Nasional Bhd.,MALAYSIA
296185,Tenedora Us Sa De Npv Ser'B-1',MEXICO
657404,"Tengda Construction Group Co., Ltd. Class A",CHINA
649979,Tenggara Oil Myr1,MALAYSIA
B04VZQ,Tennrich International Corp,TAIWAN
B3KR5B,"Tensall Bio-Tech Co., Ltd",TAIWAN
688272,Teo Guan Lee Corp.,MALAYSIA
B1VP2N,Teo Seng Capital Bhd.,MALAYSIA
BBR68R,"Tepa Medical & Electronic Products Industry & Trade, Inc.",TURKEY
487784,Teplarna Usti Czk1000,CZECH REPUBLIC
488521,Teplarny Brno Czk1000,CZECH REPUBLIC
659006,Tera Autotech Corporation,TAIWAN
643403,"Tera Resource Co., Ltd.",SOUTH KOREA
B79WMN,Tera Semicon Corporation,SOUTH KOREA
B00V75,Tera Software Limited,INDIA
B3V0G6,Tera Xtal Technology Corporation,TAIWAN
B03QB0,Terai Tea Co. Ltd.,INDIA
BBSPX0,Teratech Co. Ltd.,SOUTH KOREA
B2497W,"Terawins, Inc.",TAIWAN
B450Z4,Tereos Internacional S.A.,BRAZIL
688181,Terexko Zar0.001,SOUTH AFRICA
B88FNG,Termo-Rex SA,POLAND
B716MW,Termoexpert SA,POLAND
B3Q71N,Terra SA,POLAND
612835,Terrafin Holdings Zar0.001,SOUTH AFRICA
BFMXW4,"TerraSem Co., Ltd.",SOUTH KOREA
B58H8C,Territorial Generation Co. No. 1 JSC,RUSSIA
B0Y4ZS,Territorial Generation Co. No. 14 JSC,RUSSIA
B58MQP,Territorial Generation Co. No. 2 JSC,RUSSIA
B14SKL,Territorial Generation Co. No. 5 JSC,RUSSIA
B591WS,Territorial Generation Co. No. 6 JSC,RUSSIA
B5815N,Territorial Generation Co. No. 9 JSC,RUSSIA
B5BDHY,Territorial Generation company No 11 OJSC,RUSSIA
B2RM9B,"TES Co., Ltd.",SOUTH KOREA
B03MVG,Tesco Kipa Kitle Pazarlama Ticaret ve Gida Sanayi A.S.,TURKEY
B7HJYW,Tesco Lotus Retail Growth Freehold & Leasehold Property Fund,THAILAND
B4K03V,TESGAS S.A.,POLAND
BFTC63,"TESNA, Inc.",SOUTH KOREA
633892,"Test Research, Inc.",TAIWAN
687645,"Test Rite Internaional Co., Ltd.",TAIWAN
672633,Test-Serv Inc.,TAIWAN
636916,Testech Incorp Krw500,SOUTH KOREA
B0S5TN,Teta Sa Pln1,POLAND
B0F1KV,Tex Cycle Technology (M) Bhd.,MALAYSIA
633851,Tex Year Industries Co. Ltd.,TAIWAN
613967,"Tex-Ray Industrial Co., Ltd.",TAIWAN
628471,"Texcell-Netcom Co., Ltd",SOUTH KOREA
687696,Texchem Resources Bhd.,MALAYSIA
288575,Texel Sa Npv,MEXICO
631335,Texmaco Infrastructure & Holdings Limited,INDIA
688545,Texmaco Jaya,INDONESIA
688546,Texmaco Perkasa Engr.,INDONESIA
B3R7X8,Texmaco Rail & Engineering Limited,INDIA
B60CWR,Texmo Pipes & Products Ltd.,INDIA
B03QB2,Texplast Industries Limited,INDIA
218269,Textil F Guimaraes Prf Npv,BRAZIL
245416,Textil Renauxview SA Pfd,BRAZIL
288521,Textil San Cristobal SA,PERU
661440,"Textile Prestige Public Co., Ltd.",THAILAND
288426,Textiles Espinal S Cop5,COLOMBIA
B04F9S,Textiles Fabricato Tejicondor SA,COLOMBIA
687680,Textool Inr10,INDIA
288899,Tf De Mexico Sa Ser'1Cp'Mxn1,MEXICO
B2PJYS,TFP Solutions Bhd.,MALAYSIA
B19RSR,TGB Banquets & Hotels Ltd.,INDIA
B8FN8N,TGS Dis Ticaret AS,TURKEY
691338,Th Group,MALAYSIA
B05R23,TH Heavy Engineering Bhd.,MALAYSIA
B13JSP,TH Plantations Bhd.,MALAYSIA
608233,Thabex Ltd.,SOUTH AFRICA
B2QVJ8,Thacker & Co. Ltd.,INDIA
689234,Thai Agri Foods Pu Thb10(Local),THAILAND
688885,Thai Airways International Public Co. Ltd.,THAILAND
687796,Thai British Security Printing PCL,THAILAND
690859,Thai Cane Paper Public Co. Ltd.,THAILAND
688504,Thai Capital Corp. Public Co. Ltd.,THAILAND
662703,"Thai Carbon Black Public Co., Ltd.",THAILAND
688628,Thai Central Chemical Public Co. Ltd.,THAILAND
690263,Thai Coating Industrial Public Co. Ltd.,THAILAND
688645,Thai Comml Ins Thb10(Local),THAILAND
B0144G,Thai Factory Development Public Co. Ltd.,THAILAND
B8BSPB,Thai Film Industries Public Co. Ltd.,THAILAND
688804,Thai Financial Syn Thb10(Alien Mkt),THAILAND
688541,Thai German Products Public Co. Ltd.,THAILAND
688731,Thai Glass Industries,THAILAND
688723,Thai Gypsum Prod Thb10(Local),THAILAND
B0S5D4,Thai Ha Public Co. Ltd.,THAILAND
B1FN38,Thai Industrial & Engineering Service Public Co. Ltd.,THAILAND
688725,Thai Industrial Gas,THAILAND
689305,Thai Lift Inds Thb10(Local),THAILAND
688791,Thai Melon Polyest Thb10,THAILAND
B9793D,Thai Metal Drum Manufacturing Public Co. Ltd.,THAILAND
B06339,Thai Metal Trade Public Co. Ltd.,THAILAND
670106,Thai Mitsuwa Public Co. Ltd.,THAILAND
B0TVVH,Thai Nakarin Hospital Public Co. Ltd.,THAILAND
687868,"Thai Nam Plastic Public Co., Ltd.",THAILAND
B282X2,Thai Nondestructive Testing Public Co. Ltd.,THAILAND
688761,Thai O.P.P. Public Co. Ltd.,THAILAND
B0300P,Thai Oil Public Co. Ltd.,THAILAND
B150DX,Thai Optical Group Public Co. Ltd.,THAILAND
688751,Thai Packaging & Printing Public Co. Ltd.,THAILAND
B0JCCD,Thai Plaspac PCL,THAILAND
B03FJQ,Thai Plastic & Chemicals Public Co. Ltd.,THAILAND
B9B2SH,Thai Poly Acrylic Public Co. Ltd.,THAILAND
B60STH,Thai Polycons PCL,THAILAND
688704,Thai President Foods Public Co. Ltd.,THAILAND
B02RD9,Thai Property PCL,THAILAND
B0YB76,Thai Rayon Public Co. Ltd.,THAILAND
660993,Thai Reinsurance Public Co. Ltd.,THAILAND
B55QQF,Thai Retail Investment Fund,THAILAND
688597,"Thai Rubber Latex Corp. (Thailand) Public Co., Ltd.",THAILAND
645207,Thai Rung Union Car Public Co. Ltd.,THAILAND
688672,"Thai Setakij Insurance Public Co., Ltd.",THAILAND
B01GKL,"Thai Stanley Electric Public Co., Ltd.",THAILAND
B0BRNS,"Thai Steel Cable Public Co., Ltd.",THAILAND
689897,"Thai Storage Battery Public Co., Ltd.",THAILAND
671632,"Thai Sugar Terminal Public Co., Ltd.",THAILAND
B2973Z,Thai Tap Water Supply Co. Ltd.,THAILAND
688653,"Thai Textile Industry Public Co., Ltd.",THAILAND
688562,Thai Toray Textile Mills Public Co. Ltd.,THAILAND
642270,Thai Union Frozen Products Public Co. Ltd.,THAILAND
688798,Thai Union Paper,THAILAND
688825,Thai Union Paper Thb10(Alien Mkt),THAILAND
B0RPPY,Thai Unique Coil Center Public Co. Ltd.,THAILAND
639770,Thai Vegetable Oil Public Co. Ltd.,THAILAND
661355,Thai Wacoal Public Co. Ltd.,THAILAND
BDC5K7,Thai Wah Food Products Public Co. Ltd.,THAILAND
B94PTT,Thai Wah Starch Public Co. Ltd.,THAILAND
688742,"Thai Wire Products Public Co., Ltd.",THAILAND
B850T9,Thai Yuan Metal Public Co. Ltd.,THAILAND
688754,Thai-Asahi Glass,THAILAND
671946,Thai-German Ceramic Industry Public Co. Ltd.,THAILAND
B014JZ,Thaicom Public Co. Ltd.,THAILAND
B96WKF,Thailand Carpet Manufacturing Public Co. Ltd.,THAILAND
689367,"Thailand Iron Works Public Co., Ltd.",THAILAND
629416,Thailin Semiconductor Corp.,TAIWAN
B0JFG0,"Thailuxe Enterprises Public Co., Ltd.",THAILAND
688726,Thaimex Fin & Secs Thb10,THAILAND
BF8HLM,Thaire Life Assurance Public Co. Ltd.,THAILAND
688373,"Thaitheparos Public Co., Ltd.",THAILAND
669532,"Thaivivat Insurance Public Co., Ltd.",THAILAND
B0744Q,Thakker's Developers Ltd.,INDIA
B95BJR,Thakral Services (India) Ltd.,INDIA
B03QB6,Thambbi Modern Spinning Mills Limited,INDIA
689055,Thana Electric Supply Co. Ltd.,INDIA
630223,Thanachart Bank Public,THAILAND
B82BL8,"Thanachart Capital Public Co., Ltd.",THAILAND
B54S5K,Thanasiri Group PCL,THAILAND
B61J98,Thangamayil Jewellery Ltd.,INDIA
688989,Thantawan Industry PCL,THAILAND
661360,Thanulux Public Co. Ltd.,THAILAND
B0LWKV,The Agthia Group PJSC,UNITED ARAB EMIRATES
602865,"The Ambassador Hotel,Ltd.",TAIWAN
630006,The Andhra Petrochemicals Limited,INDIA
631258,The Andhra Pradesh Paper Mills Limited,INDIA
B02GPY,The Andhra Sugars Limited,INDIA
607595,The Bangkok Nylon Public Co. Ltd.,THAILAND
607554,The Bank of Cheju,SOUTH KOREA
B0TLH1,"The Basic House Co., Ltd",SOUTH KOREA
610008,The Bidvest Group Limited,SOUTH AFRICA
B7F8TD,The Bombay Burmah Trading Corp. Ltd.,INDIA
653260,The Chaing Corp Krw500,SOUTH KOREA
619438,The Chinese Bank,TAIWAN
613680,The Don Group Limited,SOUTH AFRICA
B703TL,The Eslite Spectrum Corporation,TAIWAN
B51LLZ,The Farm 51 Group SA,POLAND
BFT7KB,The Federal Bank Ltd.,INDIA
631175,"The First Insurance Co., Ltd.",TAIWAN
634968,The Foschini Group Limited,SOUTH AFRICA
238187,The Grange School SA  Series B,CHILE
688776,The Great Taipei Gas Corporation,TAIWAN
610039,The Indian Card Clothing Co. Ltd.,INDIA
616263,"The Landis Taipei Hotel Co., Ltd",TAIWAN
B0LBR0,"The Leadcorp, Inc.",SOUTH KOREA
651258,"The Leofoo Development Co., Ltd.",TAIWAN
B04BNJ,The Media Shoppe Bhd.,MALAYSIA
661372,The Mysore Paper Mills Limited,INDIA
B0YDCM,The National Bank of Ras Al-Khaimah PSC,UNITED ARAB EMIRATES
609337,The Nomad Group Bhd.,MALAYSIA
B7Y0CM,The Orissa Minerals Development Co. Ltd.,INDIA
632518,The Oudh Sugar Mills Limited,INDIA
B2NBQM,The Pacific Securities Co. Ltd. Class A,CHINA
B1XBYX,The Paper Products Limited,INDIA
B0SXY9,The Phoenix Mills Ltd.,INDIA
659151,The Rai Saheb Rekhchand Mohota Spinning & Weaving Mills Ltd.,INDIA
669815,The Ramco Cements Limited,INDIA
661408,"The Resources Co., Ltd.",SOUTH KOREA
631270,The Rubber Products Limited,INDIA
670805,The Sandesh Limited,INDIA
B2PFFZ,The Sandur Manganese and Iron Ores Limited,INDIA
B7VLGB,The Siam Pan Group PCL,THAILAND
677492,The Sirpur Paper Mills Ltd,INDIA
B04D86,The South India Paper Mills Limited,INDIA
634996,The South Indian Bank Limited,INDIA
B038WK,The Spar Group Limited,SOUTH AFRICA
B0D0FF,The Sports Seoul Co Ltd,SOUTH KOREA
B6SP89,The Standard Batteries Limited,INDIA
638405,The State Trading Corporation of India Limited,INDIA
685304,The Store Corporation Bhd.,MALAYSIA
613607,The Supreme Industries Limited,INDIA
B6Z1L7,The Tata Power Co. Ltd.,INDIA
688883,The Thai Insurance Public Co. Ltd.,THAILAND
631275,The Tinplate Company of India Limited,INDIA
B0BZM3,The Ugar Sugar Works Ltd,INDIA
638171,The Victoria Mills Limited,INDIA
694229,The Waterbase Limited,INDIA
696707,The West Coast Paper Mills Limited,INDIA
649919,"The Willbes & Co., Ltd",SOUTH KOREA
634609,"Theall Medi Bio. Co., Ltd.",SOUTH KOREA
612509,Thebe Financial Zar0.000002,SOUTH AFRICA
B3SGDW,Thecus Technology Corp.,TAIWAN
632754,Themis Medicare Limited,INDIA
B012WC,"Theragen Etex Co., Ltd",SOUTH KOREA
B1KT1G,"Thermaltake Technology Co., Ltd.",TAIWAN
B10SSP,Thermax Limited.,INDIA
652023,Theta Edge Bhd.,MALAYSIA
672027,Thinflex Corporation,TAIWAN
614662,"Thinking Electronic Industrial Co., Ltd",TAIWAN
B4KFSX,Thinksoft Global Services Limited,INDIA
B14X2L,Thinkware Systems Corporation,SOUTH KOREA
B3ZFQ4,"Thintech Materials Technology Co., Ltd.",TAIWAN
BFTWQS,Thirthankar Infra Ltd.,INDIA
615751,Thiru Arooran Sugars Limited,INDIA
615157,Thirumalai Chemicals Limited,INDIA
669687,"Thitikorn Public Co., Ltd.",THAILAND
B1379P,THN Corporation,SOUTH KOREA
B1XBYT,Thomas Cook (India) Limited,INDIA
B7FLPW,Thomas Scott (India) Limited,INDIA
B880GB,Thonburi Medical Centre Public Co. Ltd.,THAILAND
608737,Thong Guan Industries Bhd.,MALAYSIA
656175,Thoresen Thai Agency Public Co. Ltd.,THAILAND
B0F7NH,"Three Sixty Five Public Co., Ltd.",THAILAND
653494,Three-A Resources Bhd.,MALAYSIA
634616,"Thunder Power Co., Ltd.",TAIWAN
B05639,Thunder Tiger Corp.,TAIWAN
614555,Thuthukani Group Zar0.00001,SOUTH AFRICA
612647,"Thye Ming Industrial Co.,Ltd",TAIWAN
654607,"TIAN DI Science & Technology Co., Ltd. Class A",CHINA
635501,Tianjin Benefo Tejing Electric Co. Ltd. Class A,CHINA
689273,"Tianjin Global Magnetic Card Co., Ltd. Class A",CHINA
600441,"Tianjin Hi-Tech Development Co., Ltd. Class A",CHINA
687654,"Tianjin Marine Shipping Co., Ltd. Class B",CHINA
687887,"Tianjin Port Co., Ltd. Class A",CHINA
689089,"Tianjin Quanye Bazaar (Group) Co., Ltd. Class A",CHINA
640412,"Tianjin Reality Development (Group) Co., Ltd. Class A",CHINA
618231,Tianjin Songjiang Co. Ltd. Class A,CHINA
635593,"Tianjin Tianyao Pharmaceuticals Co., Ltd. Class A",CHINA
621873,Tianjin Zhong Xin Pharmaceutical Group Corp. Ltd. Class A,CHINA
616432,Tibet Rhodiola Pharmaceutical Holding Co. Class A,CHINA
631440,Tibet Summit Industry Co. Ltd. Class A,CHINA
631609,Tibet Tianlu Co. Ltd. Class A,CHINA
687340,Tibet Tourism Co. Ltd. Class A,CHINA
689071,"Tibet Urban Development & Investment Co., Ltd. Class A",CHINA
289067,Ticino del Peru S.A.,PERU
670231,Ticon Industrial Connection Public Co. Ltd.,THAILAND
B08K3X,Ticon Property Fund,THAILAND
B03YS0,Tide Water Oil Company (India) Limited,INDIA
687063,"Tidehold Development Co., Ltd.",TAIWAN
B0CSZV,"Tien Liang Biotech Co., Ltd.",TAIWAN
690744,Tien Wah Press Holdings Bhd.,MALAYSIA
B1XKJ9,Tig Holding Ltd Bdr Each Repr 1 Com,BRAZIL
B1GKLJ,Tiger Automotive,SOUTH AFRICA
B0J4PP,Tiger Brands Limited,SOUTH AFRICA
BCRX88,Tiger Logistics (India) Ltd.,INDIA
617804,Tiger Synergy Bhd.,MALAYSIA
614025,Tiger Wheels,SOUTH AFRICA
617930,Tigon Zar0.0001,SOUTH AFRICA
B6Z59Y,Tijaria Polypipes Limited,INDIA
633792,TIL Limited,INDIA
641312,Tilaknagar Industries Limited,INDIA
614529,Tile Africa Holds Zar0.01,SOUTH AFRICA
B78PMH,Tilia SA,POLAND
229256,TIM Participacoes S.A.,BRAZIL
532172,TIM SA,POLAND
B1Z6M0,Timar SA,MOROCCO
690556,Timberwell Bhd.,MALAYSIA
B62F4W,Timbor Home Limited,INDIA
633653,TIME dotCom Bhd.,MALAYSIA
689183,Time Engineering Bhd.,MALAYSIA
654369,Time Publishing & Media Co. Ltd. Class A,CHINA
B1XF61,Time Technoplast Limited,INDIA
630290,Times Guaranty Limited,INDIA
B89480,Times Media Group Ltd.,SOUTH AFRICA
689186,Times Media Zar0.05,SOUTH AFRICA
610044,Timex Group India Limited,INDIA
614385,Timken India Limited,INDIA
B03GN0,Tinna Rubber & Infrastructure Limited,INDIA
689206,Tiong Nam Logistics Holdings Bhd.,MALAYSIA
690707,Tipco Asphalt Public Co. Ltd.,THAILAND
672720,Tipco Foods Public Co. Ltd.,THAILAND
643777,Tips Industries Limited,INDIA
B142DW,Tirathai Public Co. Ltd.,THAILAND
B05JSH,Tirupati Foam Ltd,INDIA
641808,Tirupati Industries (India) Limited,INDIA
B4RJK3,Tirupati Inks Limited.,INDIA
B39NF9,Tirupati Sarjan Limited,INDIA
B032NZ,Tirupati Starch & Chemicals Limited,INDIA
B3L0Q8,TISCO Financial Group Public Co. Ltd.,THAILAND
509152,Tiszai Vegyi Kombinat Nyilvanosan Mukodo Reszvenytarsasag,HUNGARY
B126H4,Titagarh Steels Inr10,INDIA
B2PLY4,Titagarh Wagons Limited,INDIA
630294,Titan Biotech Limited,INDIA
B09V3X,Titan Chemicals,MALAYSIA
613934,Titan Industries Limited,INDIA
634282,Titan Securities Limited,INDIA
609690,Titan Trading & Agencies Ltd.,INDIA
670901,"Tittot Co., Ltd.",TAIWAN
B4NSZN,Tivit Terceirizacao On,BRAZIL
616497,"TJ Media Co., Ltd",SOUTH KOREA
B3N66R,TK Chemical Corporation,SOUTH KOREA
616712,TK Corporation,SOUTH KOREA
638193,TKC Steel Corporation,PHILIPPINES
B17Q2L,Tlc Leisure Krw500,SOUTH KOREA
B1747C,TLI Inc.,SOUTH KOREA
632390,TM Technology Inc.,TAIWAN
688787,"TMB Bank Public Co., Ltd.",THAILAND
B916BM,TMC Industrial Public Co. Ltd.,THAILAND
B0LSTW,TMC Life Sciences Bhd.,MALAYSIA
B590TG,TMK OAO,RUSSIA
667306,TMP International Corporation,TAIWAN
487356,Tmp Tel Montaze Czk1000,CZECH REPUBLIC
B552VM,"Tobesoft Co., Ltd",SOUTH KOREA
B04J1R,Tobu Enterprises Ltd.,INDIA
610184,Toco Hldgs Zar0.01(Post Recons,SOUTH AFRICA
670844,Todays Writing Instruments Limited,INDIA
489289,Tofas Oto Ticaret,TURKEY
B03MY3,Tofas Turk Otomobil Fabrikasi A.S.,TURKEY
608667,Toheal Pharmachem Ltd.,INDIA
667238,"Tokai Carbon Korea Co., Ltd.",SOUTH KOREA
B03KDZ,Tokyo Plast International Ltd,INDIA
633483,Tolaram 2000 Ltd Npv,SOUTH AFRICA
289612,Tolmex SA de CV,MEXICO
487764,Toma as,CZECH REPUBLIC
686066,Tomboy Corp.,SOUTH KOREA
B18YC5,Tomei Consolidated Bhd.,MALAYSIA
689627,Tomkor Zar0.50,SOUTH AFRICA
B59NCK,Tomsk Distribution Co. JSC,RUSSIA
B59PMR,Tomsk Energy Retail Company JSC,RUSSIA
689840,Tomypak Holdings Bhd.,MALAYSIA
689786,Ton Yi Industrial Corp.,TAIWAN
617955,Tong Herr Resources Bhd.,MALAYSIA
B1L8PB,"Tong Hsing Electronic Industries ,Ltd.",TAIWAN
B7WCSB,Tong Hua Communications Public Co. Ltd.,THAILAND
690032,Tong Lung Metal Industry Co. Ltd.,TAIWAN
689884,"Tong Yang Industry Co., Ltd.",TAIWAN
626960,"Tong Yang Magic Co., Ltd.",SOUTH KOREA
689647,"Tong Yang Moolsan Co., Ltd.",SOUTH KOREA
689674,Tong-Hwa Synthetic Fiber Co. Ltd.,TAIWAN
629190,"Tong-Tai Machine Tool Co., Ltd.",TAIWAN
B1ZBDG,Tongaat Hulett Limited,SOUTH AFRICA
688242,"Tonghua Dongbao Pharmaceutical Co., Ltd. Class A",CHINA
631491,"Tonghua Grape Wine Co., Ltd. Class A",CHINA
652971,Tongkah Harbour Public Co. Ltd.,THAILAND
689695,Tongkook Corp Krw5000,SOUTH KOREA
