Emerging market by exchanges,,
,,
,,Domicile
671463,"Adamas, Inc. Public Co. Ltd.",THAILAND
B03MMZ,Adana Cimento Sanayii T.A.S. Class A,TURKEY
B01VRK,Adani Enterprises Limited,INDIA
B28XXH,Adani Ports & Special Economic Zone Ltd.,INDIA
B3WQH4,Adani Power Limited,INDIA
612924,Adaptit Holdings Limited,SOUTH AFRICA
B03PHG,Adarsh Plant Protect Ltd.,INDIA
671894,"Adata Technology Co., Ltd.",TAIWAN
648599,ADC India Communications Limited,INDIA
601662,Adcock Ingram,SOUTH AFRICA
B3BX6X,Adcock Ingram Holdings Limited,SOUTH AFRICA
600677,Adcorp Holdings Limited,SOUTH AFRICA
673207,Add Microtech Corp Twd10,TAIWAN
643156,Adda Corp.,TAIWAN
B84052,"ADDCN Technology Co., Ltd.",TAIWAN
B00HF5,Addi Industries Limited,INDIA
B03MN2,Adel Kalemcilik Ticaret ve Sanayi A.S.,TURKEY
B6Y3LL,Adese Alisveris Merkezleri Ticaret AS,TURKEY
630002,ADF Foods Limited,INDIA
BB7MTH,Adform Group Spolka Akcyjna Class B,POLAND
B0WJ4P,Adhunik Metaliks Limited,INDIA
600133,ADI Corp.,TAIWAN
609589,ADI Finechem Limited,INDIA
B9C2X4,Adi Rasayan Ltd.,INDIA
B3ML0F,Adimmune Corporation,TAIWAN
B3BDWY,Adinath Bio-Labs Ltd.,INDIA
B04J9J,Adinath Exim Resources Ltd,INDIA
630133,Adinath Textiles Ltd.,INDIA
631428,Aditya Birla Chemicals (India) Limited,INDIA
B0HXGC,Aditya Birla Money Limited,INDIA
610042,Aditya Birla Nuvo Limited,INDIA
B04FL3,Aditya Forge Limited,INDIA
B03JKQ,Aditya Ispat Limited,INDIA
643157,Adlink Technology Inc.,TAIWAN
B800XM,Admassive SA,POLAND
224047,Administradora de Fondos de Pensiones Cuprum S.A.,CHILE
240129,Administradora de Fondos de Pensiones Habitat S.A.,CHILE
269473,Administradora de Fondos de Pensiones Provida S.A.,CHILE
278054,Administradora de Fondos de Pensiones y Cesantias Proteccion,COLOMBIA
260104,Administradora del Comercio S.A.,PERU
B6499B,Admiral Boats SA,POLAND
600097,Admiral Leisure Wo Zar0.01,SOUTH AFRICA
B1FJN2,ADO Optronic Corp.,TAIWAN
B03973,Ador Fontech Limited,INDIA
604209,Ador Multiproducts Ltd.,INDIA
609968,Ador Welding Limited,INDIA
B7GGDP,Adrenna Property Group Limited,SOUTH AFRICA
667677,ADS Diagnostic Ltd.,INDIA
B7GLQ0,Aduma SA,POLAND
535167,ADVADIS S.A.,POLAND
600797,Advance Agro Public Co. Ltd.,THAILAND
B02R6W,Advance Data Techn Twd10,TAIWAN
