,604754,,,,,,609027,,,,
,604758,,,,,,609071,,,,
,604759,,,,,,609375,,,,
,604760,,,,,,609408,,,,
,604761,,,,,,609793,,,,
,604804,,,,,,609798,,,,
,604811,,,,,,610019,,,,
,604896,,,,,,610022,,,,
,604967,,,,,,610269,,,,
,604982,,,,,,610299,,,,
,605042,,,,,,610374,,,,
,605069,,,,,,610520,,,,
,605110,,,,,,610628,,,,
,605120,,,,,,610642,,,,
,605137,,,,,,610692,,,,
,605141,,,,,,610921,,,,
,605143,,,,,,610930,,,,
,605146,,,,,,610947,,,,
,605154,,,,,,611081,,,,
,605295,,,,,,611298,,,,
,605338,,,,,,611340,,,,
,605537,,,,,,611416,,,,
,605542,,,,,,611779,,,,
,605624,,,,,,612041,,,,
,605684,,,,,,612162,,,,
,605785,,,,,,612171,,,,
,605789,,,,,,612208,,,,
,605795,,,,,,612285,,,,
,605813,,,,,,612302,,,,
,605862,,,,,,612335,,,,
,605877,,,,,,612397,,,,
,605878,,,,,,612398,,,,
,605883,,,,,,612400,,,,
,605917,,,,,,612672,,,,
,605920,,,,,,612979,,,,
,605934,,,,,,612993,,,,
,605953,,,,,,612995,,,,
,606000,,,,,,613003,,,,
,606008,,,,,,613086,,,,
,606832,,,,,,613133,,,,
,606928,,,,,,613135,,,,
,607028,,,,,,613350,,,,
,607029,,,,,,613532,,,,
,607068,,,,,,613893,,,,
,607071,,,,,,613927,,,,
,607073,,,,,,613961,,,,
,607074,,,,,,614050,,,,
,607077,,,,,,614097,,,,
,607078,,,,,,614116,,,,
,607081,,,,,,614117,,,,
,607134,,,,,,614121,,,,
,607137,,,,,,614153,,,,
,607142,,,,,,614215,,,,
,607146,,,,,,614582,,,,
,607149,,,,,,614675,,,,
,607155,,,,,,614704,,,,
,607158,,,,,,614708,,,,
,607166,,,,,,614801,,,,
,607168,,,,,,614975,,,,
,607169,,,,,,614993,,,,
,607172,,,,,,615166,,,,
#,607256,,,,,,615458,,,,
#,607300,,,,,,615581,,,,
#,607304,,,,,,615660,,,,
#,607312,,,,,,615774,,,,
#,607322,,,,,,615775,,,,
#,607334,,,,,,615882,,,,
#,607353,,,,,,615939,,,,
#,607368,,,,,,616008,,,,
#,607392,,,,,,616097,,,,
#,607460,,,,,,616132,,,,
#,607462,,,,,,616149,,,,
#,607588,,,,,,616838,,,,
#,607643,,,,,,616843,,,,
#,607722,,,,,,617307,,,,
#,607723,,,,,,617628,,,,
#,607726,,,,,,617649,,,,
#,607733,,,,,,617665,,,,
#,607751,,,,,,617675,,,,
#,607785,8:41AM,,,,,617678,,,,
#,607953,,,,,,618077,,,,
#,607975,,,,,,618305,,,,
#,608042,,,,,,618306,,,,
#,608118,,,,,,618307,,,,
#,608121,,,,,,618308,,,,
#,608162,,,,,,618317,,,,
#,608177,,,,,,618328,,,,
#,608318,,,,,,618335,,,,
#,608335,,,,,,618337,,,,
#,608384,,,,,,618389,,,,
#,608498,,,,,,618511,,,,
#,608529,,,,,,618520,,,,
#,608687,,,,,,618524,,,,
#,608688,,,,,,618528,,,,
#,608913,,,,,,618574,,,,
#,608949,,,,,,618578,,,,
#,608973,,,,,,618607,,,,
#,608974,,,,,,618608,,,,
#,608999,,,,,,618626,,,,
#,609012,,,,,,618654,,,,
#,609014,,,,,,618657,,,,
#,609027,,,,,,618674,,,,
#,609071,,,,,,618690,,,,
,609159,,,,,,618727,,,,
#,609375,,,,,,618767,,,,
#,609408,,,,,,618818,,,,
#,609793,,,,,,618839,,,,
#,609798,,,,,,618921,,,,
#,610019,,,,,,618950,,,,
#,610022,,,,,,619010,,,,
#,610269,,,,,,619318,,,,
#,610299,,,,,,619348,,,,
#,610374,,,,,,619427,,,,
#,610520,,,,,,619461,,,,
#,610628,,,,,,619462,,,,
#,610642,,,,,,619601,,,,
#,610692,,,,,,619849,,,,
#,610921,,,,,,619851,,,,
#,610930,,,,,,619886,,,,
#,610947,,,,,,619982,,,,
#,611081,,,,,,620193,,,,
#,611298,,,,,,620457,,,,
#,611340,,,,,,620518,,,,
#,611416,,,,,,620519,,,,
#,611779,,,,,,620614,,,,
#,612041,,,,,,620677,,,,
#,612162,,,,,,620725,,,,
#,612171,,,,,,620803,,,,
#,612208,,,,,,620947,,,,
#,612285,,,,,,620951,,,,
#,612302,,,,,,621042,,,,
#,612335,,,,,,621085,,,,
#,612397,,,,,,621088,,,,
#,612398,,,,,,621102,,,,
#,612400,,,,,,621345,,,,
#,612672,,,,,,621355,,,,
#,612979,,,,,,621364,,,,
#,612993,,,,,,621518,,,,
#,612995,,,,,,621645,,,,
#,613003,,,,,,621675,,,,
#,613086,,,,,,622089,,,,
#,613133,,,,,,622266,,,,
#,613135,,,,,,622280,,,,
#,613350,,,,,,622281,,,,
#,613532,,,,,,622283,,,,
#,613893,,,,,,622288,,,,
#,613927,,,,,,622296,,,,
#,613961,,,,,,622307,,,,
#,614050,,,,,,622341,,,,
#,614097,,,,,,622366,,,,
#,614116,,,,,,622397,,,,
#,614117,,,,,,622422,,,,
